Cluster,RA_ICRS,DE_ICRS,r50,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,FileName,SimbadName,_RA.icrs,_DE.icrs,name,new_x,new_y,bandwidth,memb,new_ra,new_dec
NGC_2360         ,109.4404,-15.6295,0.154,687,0.389,0.195,5.608,0.187,0.9,0.056,  28.386,  0.585, 25,1054,21,9.103,0.03,-0.045,0.06,0.41,0.063,clusters1/NGC_2360.dat         ,NGC 2360                ,109.4404,-15.6295,NGC_2360,-0.0579550747792101,-0.1438896086675001,2.3,0.5,109.43712845437126,-15.637321861268578
NGC_2362         ,109.6718,-24.9487,0.052,142,-2.779,0.176,2.95,0.231,0.743,0.077,        ,       ,   ,1233,57,7.156,0.13,-0.104,0.073,0.43,0.038,clusters1/NGC_2362.dat         ,NGC 2362                ,109.6718,-24.9487,NGC_2362,0.1115957264475113,-0.2024431881312929,0.5,0.5,109.67751983469262,-24.958107141688316
NGC_2367         ,110.0269,-21.8644,0.046,41,-1.72,0.137,2.51,0.161,0.4,0.07,        ,       ,   ,1722,244,7.49,0.394,-0.065,0.125,1.025,0.156,clusters1/NGC_2367.dat         ,NGC 2367                ,110.0269,-21.8644,NGC_2367,0.2481979409217358,-0.3592571446869468,1.0,0.5,110.03579906363996,-21.87635325611035
NGC_2374         ,110.9997,-13.2363,0.165,78,-4.687,0.13,0.656,0.107,0.753,0.073,        ,       ,   ,1181,50,8.549,0.077,0.041,0.127,0.534,0.049,clusters1/NGC_2374.dat         ,NGC 2374                ,110.9997,-13.2363,NGC_2374,0.4852144172634691,-0.35903716026462,2.0,0.5,111.02388415917034,-13.253717418185966
NGC_2383         ,111.1716,-20.9492,0.036,254,-1.647,0.11,1.909,0.139,0.289,0.063,  71.627,  0.459,  4,2815,79,8.382,0.091,-0.174,0.043,1.175,0.031,clusters1/NGC_2383.dat         ,NGC 2383                ,111.1716,-20.9492,NGC_2383,0.1192506720577677,-0.0621790212477089,1.2,0.5,111.17419901861322,-20.950465555980465
NGC_2384         ,111.2913,-21.0211,0.063,80,-2.303,0.185,3.118,0.22,0.33,0.132,        ,       ,   ,2494,179,7.318,0.228,-0.147,0.209,0.976,0.098,clusters2/NGC_2384.dat         ,NGC 2384                ,111.2913,-21.0211,NGC_2384,-0.1880697664129411,0.0795603836308571,1.7,0.5,111.28667140124257,-21.019272161055152
NGC_2396         ,111.9828,-11.727,0.184,169,-1.514,0.132,-0.237,0.091,0.653,0.058,        ,       ,   ,1413,60,8.23,0.225,-0.081,0.085,0.539,0.093,clusters1/NGC_2396.dat         ,NGC 2396                ,111.9828,-11.727,NGC_2396,-0.4531718641275155,0.1450829815429788,3.6,0.5,111.96403299056264,-11.721116414140882
NGC_2401         ,112.3487,-13.9663,0.017,80,-1.367,0.137,1.66,0.119,0.198,0.077,        ,       ,   ,3940,165,8.322,0.046,-0.168,0.081,1.044,0.04,clusters1/NGC_2401.dat         ,NGC 2401                ,112.3487,-13.9663,NGC_2401,0.3307538215806951,-0.1433062010005668,1.0,0.5,112.35365641295247,-13.968383919458725
NGC_2414         ,113.2898,-15.4493,0.044,152,-1.409,0.095,1.414,0.107,0.161,0.074,        ,       ,   ,3624,197,7.752,0.244,-0.198,0.078,1.672,0.042,clusters1/NGC_2414.dat         ,NGC 2414                ,113.2898,-15.4493,NGC_2414,0.4702946674051311,-0.0421187224731802,1.8,0.5,113.29751416608416,-15.449965767610927
NGC_2420         ,114.6052,21.5716,0.053,420,-1.202,0.166,-2.124,0.138,0.363,0.067,  74.291,  1.001, 14,2435,46,9.347,0.024,-0.1,0.035,0.117,0.015,clusters1/NGC_2420.dat         ,NGC 2420                ,114.6052,21.5716,NGC_2420,-0.0782323664205604,0.1388123852088449,1.3,0.5,114.60322049685793,21.57486625681828
NGC_2421         ,114.0504,-20.631,0.094,426,-3.147,0.097,3.093,0.107,0.345,0.053,        ,       ,   ,2406,83,7.874,0.127,-0.1,0.07,1.451,0.046,clusters1/NGC_2421.dat         ,NGC 2421                ,114.0504,-20.631,NGC_2421,-0.0052413739073049,0.0400975790807276,2.7,0.5,114.05026663116756,-20.63004512794128
