name,RA_ICRS,DE_ICRS,Dist,e_Dist,logage,e_logage,Av,e_Av,r_memb,m_binsize,m_memb,M_class,P_class,R_class,rc,rt,c,n0,unc_rc_max,unc_rt_max,unc_c_max,unc_n0_max,unc_rc_min,unc_rt_min,unc_c_min,unc_n0_min,steps_emcee,M_bp,M_rp,M(rt)_dv,M_bp_dv,M_rp_dv,M(rt_min),M(rt),M(rt_max),unc_M(rt_min),unc_M(rt),unc_M(rt_max)
NGC_6823,295.7956,23.3315,2081,142,6.835,0.086,2.516,0.135,0.5,0.5,0.5,M2,P2,R2,3.5625400000000003,6.44939,0.25975,19.22331,1.189,16.4798,0.23800000000000002,22.96,-1.3317,-1.3332,-0.1676,-12.8601,100000,1155.777,1036.154,1326.273,1313.759,1314.101,938.907,1160.94,1198.807,52.9,62.468,61.89100000000001
NGC_6827,297.2204,21.2136,6471,681,8.931000000000003,0.057,2.362,0.123,0.5,0.5,0.5,M1,P2,R1,1.73396,4.10163,0.15567,27.644000000000002,0.3132,0.8015,0.0613,13.7378,-0.2009,-0.6147,-0.0595,-6.318,100000,1388.086,1866.538,2002.298,1848.422,2230.09,1461.295,1632.5,1755.283,88.33200000000002,100.646,112.48299999999999
NGC_6830,297.7236,23.1012,2045,82,8.029,0.08800000000000001,1.754,0.035,0.5,0.5,0.5,M1,P1,R2,4.74366,6.13218,0.2052,27.03225,0.6247,1.2677,0.2055,11.6042,-1.0308,-0.6016,-0.131,-13.0624,200000,687.7510000000002,657.029,678.721,721.449,694.7,636.781,642.367,642.367,19.750999999999998,19.457,17.12
NGC_6834,298.0526,29.4004,2958,248,7.144,0.378,2.228,0.047,0.5,0.5,0.5,M2,P2,R1,1.60562,9.70077,0.20732,20.76859,0.1102,3.5754,0.1499,2.6860000000000004,-0.0986,-2.0808,-0.1271,-2.04,100000,1904.863,1760.542,1944.783,1954.629,1957.054,1796.6229999999996,1829.423,1829.423,56.09,51.178999999999995,57.89
NGC_6871,301.5859,35.7702,1741,69,7.064,0.062,1.439,0.043,0.5,0.5,0.5,M1,P1,R1,6.7778199999999975,20.29096,0.09543,4.67644,3.2278,28.3221,0.054000000000000006,8.6077,-1.4973,-6.9392,-0.049,-1.7983,100000,2566.604,2718.304,2625.23,2670.985,2782.582000000001,1761.362,2423.103,2961.024000000001,40.62,43.908,54.698
NGC_6910,305.7894,40.7669,1722,111,6.936,0.051,3.155,0.127,0.7,0.5,0.7,M2,P2,R2,0.86195,7.6611600000000015,0.08307,19.4427,0.0425,2.4433,0.0559,1.3416,-0.0402,-1.4753,-0.0422,-1.1518,100000,726.78,682.732,854.709,832.64,906.084,709.8380000000002,733.556,769.133,40.937,55.269,48.88399999999999
NGC_6939,307.9285,60.6546,1757,51,9.207,0.051,0.919,0.042,0.5,0.5,0.5,M1,P1,R1,1.57818,14.80959,0.31407,37.39731,0.1273,14.3308,0.3234,5.2192,-0.1117,-4.9428,-0.2134,-3.8426,100000,2619.798,2535.668,2502.067,2715.3740000000007,2750.004000000001,2280.065,2305.786,2305.786,27.741,32.564,30.430999999999997
NGC_6940,308.6154,28.2733,992,12,9.07,0.03,0.6859999999999999,0.103,0.5,0.5,0.5,M1,P1,R1,3.03674,13.3601,0.06837,18.79451,0.1178,1.3243,0.0297,1.2601,-0.1096,-1.1026,-0.0268,-1.0924,100000,1252.601,1214.144,1411.975,1366.261,1360.18,1264.138,1292.706,1328.965,21.705,22.247,24.494
NGC_6997,314.1416,44.6318,863,13,8.734,0.062,1.985,0.107,0.5,0.5,0.5,M1,P2,R2,0.92639,11.52455,0.21853000000000009,25.77686,0.1096,39.7161,0.3578,4.7737,-0.0909,-5.3879,-0.1505,-2.8568,100000,405.55800000000005,429.699,435.788,442.089,466.125,400.127,400.127,400.127,11.775,12.902999999999999,12.599
NGC_7044,318.2871,42.4976,3225,150,9.123,0.03,2.649,0.133,0.5,0.5,0.5,M1,P2,R1,1.40962,10.09752,0.3521,56.24018,0.084,3.3056,0.2385,5.495,-0.0741,-2.0477,-0.2103,-4.2704,100000,6874.471,7355.733,7182.611,7646.222,7574.672,6505.8319999999985,6838.210999999998,7035.441,123.499,122.781,127.391
NGC_7063,321.1026,36.4989,659,11,8.176,0.107,0.3670000000000001,0.051,0.5,1.0,0.5,M2,P1,R2,2.29734,3.3179,0.32185,42.45117,0.4705,1.1658,0.3156,27.8925,-0.6561,-0.3516,-0.20800000000000002,-23.7425,500000,141.615,150.341,151.776,148.368,155.105,137.588,146.985,146.985,5.129,5.329,6.135
NGC_7086,322.6241,51.5885,1594,63,7.98,0.311,2.0980000000000003,0.116,0.5,0.5,0.5,M1,P1,R2,1.36744,29.50976,0.23885,35.11485,0.1196,39.0742,0.2912,4.2449,-0.0873,-15.8606,-0.1595,-2.0869,100000,2996.081,3051.9390000000008,2902.543,2872.946,2949.905,3063.809,3063.809,3063.809,30.456,32.732,33.674
NGC_7092,322.7565,48.2284,303,6,8.66,0.062,0.093,0.049,0.5,0.5,0.5,M1,P1,R1,2.61573,11.7737,0.10816,5.41552,1.5242,33.5301,0.0884,13.6606,-0.5212,-6.0441,-0.063,-1.5822,200000,174.41400000000004,178.639,169.297,175.248,181.124,95.958,161.74,168.983,7.112,9.564,7.474
NGC_7128,325.9909,53.7142,3241,157,7.127000000000002,0.243,2.879,0.059,0.5,0.5,0.5,M1,P2,R1,1.57675,2.99737,0.4181,81.00026,0.4189,0.7625,0.2004,67.0028,-0.2872,-0.4062,-0.1939,-28.9228,100000,1067.642,1052.061,1034.4260000000004,1061.609,1065.107,968.421,1052.881,1210.322,43.667,44.571999999999996,54.468
NGC_7142,326.2842,65.7814,2040,38,9.553,0.036000000000000004,1.286,0.016,0.5,0.5,0.5,M2,P1,R1,1.97099,9.01226,0.1462,27.76655,0.1173,1.4997,0.07400000000000001,3.0005,-0.10099999999999999,-1.1692,-0.0679,-2.2964,100000,1996.781,2039.174,2494.845,2455.233,2492.705,2003.526,2077.231,2155.271,53.266999999999996,57.03,53.813
NGC_7160,328.4429,62.5876,919,17,7.102,0.157,1.311,0.134,0.5,1.0,0.5,M2,P1,R2,1.43214,2.81999,0.49918,32.41381,0.5654,44.1716,0.5538,47.5871,-0.6512,-0.6528,-0.3379,-22.2387,200000,142.68,149.24,155.80200000000005,151.718,158.642,131.2,150.06,150.06,11.607000000000001,13.890999999999998,11.965
NGC_7209,331.2288,46.495,1145,30,8.693999999999999,0.047,0.612,0.081,0.5,0.5,0.5,M1,P1,R1,3.45992,19.40709,0.08617000000000001,5.67962,1.2509,31.1472,0.0785,5.0347,-0.5486,-9.1534,-0.0476,-1.1962,200000,812.927,798.443,868.122,886.416,896.434,643.341,783.959,783.959,15.314,18.102,16.518
NGC_7226,332.6058,55.3988,4019,279,8.686,0.5,1.815,0.112,0.5,0.5,0.5,M2,P2,R2,1.95219,2.75017,0.26619,49.09158,0.4067,1.8969,0.2809,30.5259,-0.7099,-0.3416,-0.172,-33.8195,200000,419.439,393.48800000000006,430.72,451.262,449.541,389.867,407.972,455.046,21.233,21.93,22.843000000000004
NGC_7235,333.085,57.2753,3158,261,7.1,0.117,2.5660000000000003,0.031,0.5,0.5,0.5,M1,P2,R2,1.83121,28.45434,0.14205,8.04734,0.3543,43.1094,0.1576,2.5381,-0.1987,-18.1766,-0.0884,-0.7596,200000,1657.2220000000002,1598.182,1586.527,1633.409,1665.6470000000004,1557.182,1557.182,1557.182,53.647,50.19,53.126999999999995
NGC_7243,333.7746,49.8317,851,19,8.113999999999999,0.104,0.828,0.058,0.5,0.5,0.5,M1,P1,R1,2.24661,16.31361,0.15,12.40066,0.4312,30.1384,0.1757,4.2394,-0.2822,-6.778,-0.0959,-2.0428,100000,831.903,823.002,801.423,800.815,798.525,818.209,827.11,827.11,14.919,12.98,14.175
