,_Glon,_Glat,Cluster,RA_ICRS,DE_ICRS,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,dr3_rv,e_dr3_rv,N_stars_dr3_rv,ra_duarte,dec_duarte
1403,108.557379,-2.613043,UBC_395,345.624,57.1867,105,-2.854,0.165,-2.564,0.137,0.393,0.1,,,2339,107,8.82,0.532,-0.065,0.055,1.811,0.257,,,,345.60901446707265,57.186521926942525
1404,109.416816,7.456986,UBC_396,337.2957,66.5205,29,-2.257,0.121,-2.828,0.157,0.951,0.063,,,1054,25,7.119,0.425,0.016,0.346,2.491,0.166,-39.88122373062856,8.470672905273938,4.0,337.312945885916,66.51452425842348
1405,110.148339,-1.743497,UBC_397,347.7321,58.6112,111,-3.503,0.196,-2.655,0.153,0.252,0.099,,,3430,325,6.81,0.108,-0.141,0.137,2.703,0.06,,,,347.70659870095403,58.6183348316868
1406,127.768403,-2.260135,UBC_40,22.6326,60.244,100,-1.061,0.275,-0.614,0.233,0.363,0.103,,,2228,63,8.036,0.203,-0.226,0.102,1.38,0.085,,,,22.65036969592234,60.24885632811719
1407,119.21582,0.713627,UBC_407,4.5533,63.3454,367,-3.084,0.172,-0.57,0.113,0.289,0.058,-75.435,0.347,2779,117,7.818,0.422,-0.001,0.122,1.68,0.152,-81.55143192309237,0.4442173954758177,5.0,4.575349347108613,63.3530784429805
1408,120.187326,0.492022,UBC_409,6.7562,63.2336,428,-2.905,0.155,-0.421,0.106,0.297,0.074,-59.371,1.41,2918,185,7.134,0.503,-0.098,0.12,1.951,0.195,-72.89620218721291,0.6136179891920505,3.0,6.761620579671128,63.2193330115931
1409,128.138256,-2.665904,UBC_41,23.2364,59.7856,191,-0.787,0.287,-0.704,0.281,0.33,0.137,,,2347,110,7.972,0.179,-0.19,0.083,1.56,0.109,-41.98895957472396,0.3138863763200438,2.0,23.237378646101547,59.78171245192803
1410,120.258251,0.158191,UBC_410,6.9806,62.9078,171,-3.13,0.162,-0.964,0.123,0.336,0.072,,,2663,137,7.344,0.399,0.272,0.104,1.527,0.093,,,,6.974555983191324,62.923060502794485
1411,125.292146,-2.311627,UBC_413,17.6488,60.4723,41,-2.36,0.164,-0.328,0.114,0.331,0.068,,,2746,89,7.109,0.281,0.095,0.226,2.283,0.163,,,,17.676268851228233,60.46228597961562
1412,131.496872,12.035689,UBC_415,42.5554,72.9012,29,-1.309,0.163,-1.607,0.255,1.08,0.089,,,893,26,7.227,0.105,-0.078,0.158,1.58,0.132,-22.83803012051677,6.488319218070442,9.0,42.47109915729351,72.91644093090993
1413,132.419974,-7.245876,UBC_417,29.1818,54.4187,67,-0.756,0.179,-1.481,0.149,0.476,0.06,,,1926,113,7.562,0.203,-0.03,0.228,0.59,0.083,,,,29.201460933447414,54.42910561823677
1414,137.136358,-1.618904,UBC_422,40.569,58.1629,108,0.584,0.165,-0.706,0.134,0.36,0.054,,,2494,221,7.096,0.584,-0.048,0.17,2.203,0.092,,,,40.56332876255052,58.173916667522775
1415,140.341603,0.941809,UBC_423,48.2951,58.9367,47,0.626,0.147,-0.779,0.251,0.378,0.109,,,2623,157,6.888,0.062,0.143,0.199,2.616,0.024,,,,48.2788708128667,58.92940428612368
1416,145.744706,-4.727069,UBC_424,50.9916,51.2608,129,0.088,0.23,-1.607,0.199,0.396,0.097,,,2083,80,8.633,0.268,-0.074,0.098,1.905,0.126,-37.403345426376376,0.6482207086583227,2.0,50.9858723909441,51.24793046154583
1417,151.583595,-3.671182,UBC_425,59.219,48.6086,124,0.802,0.21,-1.374,0.193,0.299,0.085,,,2691,268,7.031,0.471,-0.106,0.149,2.603,0.06,-48.75399168021047,1.2907814006904308,4.0,59.222774855243685,48.61646884725743
1418,158.070159,-2.968369,UBC_428,66.8025,44.6853,189,1.278,0.233,-1.38,0.153,0.276,0.095,-15.185,0.89,2837,264,7.054,0.805,-0.176,0.137,2.658,0.179,-1.0541488055911463,0.8617054834000922,11.0,66.7927464590257,44.69859876363652
1419,160.742432,0.139815,UBC_429,72.5709,44.7681,118,-0.282,0.242,-1.037,0.173,0.352,0.128,,,2642,116,8.856,0.048,-0.077,0.104,2.016,0.139,-21.366856262521416,1.833833187961168,2.0,72.57327121985547,44.77166832657384
1420,162.701418,-2.60367,UBC_430,71.4284,41.502,81,0.148,0.223,-1.079,0.157,0.271,0.079,,,2926,204,8.116,0.548,0.144,0.18,1.292,0.085,-2.756354546050756,1.3767971037215063,2.0,71.39327468401899,41.55547180306901
1421,167.812961,0.741157,UBC_432,79.0349,39.5289,108,0.36,0.193,-1.884,0.147,0.309,0.095,,,2635,144,7.148,0.518,-0.091,0.101,1.901,0.099,,,,79.03655293748736,39.5251161439887
1422,180.778904,0.86204,UBC_433,87.7067,28.7143,114,0.298,0.195,-0.231,0.172,0.181,0.102,,,4614,204,9.082,0.132,-0.351,0.134,1.815,0.219,-7.927084048695847,1.780956101637211,15.0,87.69794812762703,28.725031418560764
1423,184.900472,1.5702,UBC_435,90.7183,25.5052,127,-0.081,0.183,-1.63,0.157,0.269,0.081,,,3118,245,7.888,0.741,-0.043,0.135,1.091,0.322,,,,90.68826170988883,25.510098718082343
1424,186.072029,5.231648,UBC_436,94.9131,26.2321,102,-0.343,0.156,-2.081,0.178,0.281,0.092,,,3078,403,8.794,0.709,-0.11,0.119,1.092,0.29,6.419747043069294,0.3984019061877553,3.0,94.91261985823655,26.23952898943422
1425,187.35787,-1.073694,UBC_437,89.5422,22.0599,86,0.15,0.137,-1.918,0.138,0.47,0.087,,,1840,87,7.904,0.274,-0.1,0.062,1.847,0.128,,,,89.5585647125166,22.06703864507345
1426,195.698478,0.013529,UBC_438,94.8212,15.2945,158,0.135,0.161,-0.385,0.156,0.184,0.08,74.681,0.805,4113,328,6.701,0.046,0.224,0.205,2.575,0.037,72.60138654401854,1.00536522431968,3.0,94.7816041145514,15.273832380999384
